Index | psnr_non_augmented_to_augmented | psnr_non_augmented_to_denoised | original_sigma | current_sigma | denoise_method
0 | 22.467125 | 26.321342 | 10.089770641215793 | 5.494750871224056 | bilateral_filtering
0 | 22.467125 | 22.689900 | 10.089770641215793 | 14.628452577449309 | fast_nl_means
0 | 22.467125 | 25.630963 | 10.089770641215793 | 6.349662331407613 | gaussian_denoise
0 | 22.467125 | 25.833613 | 10.089770641215793 | 2.8837418402456323 | box_filter_denoise
0 | 22.467125 | 29.891286 | 10.089770641215793 | 1.719141960365264 | median_blur
0 | 22.467125 | 22.502934 | 10.089770641215793 | 14.696163618923316 | bayesshrink_wavelet
0 | 22.467125 | 23.648736 | 10.089770641215793 | 11.187038244770225 | visushrink_wavelet
0 | 22.467125 | 24.954090 | 10.089770641215793 | 2.486139093104234 | tv_chambolle_denoise
1 | 23.570793 | 27.029332 | 8.47887026465845 | 4.676792097004057 | bilateral_filtering
1 | 23.570793 | 24.670104 | 8.47887026465845 | 9.250532798923967 | fast_nl_means
1 | 23.570793 | 26.562802 | 8.47887026465845 | 5.419230397727985 | gaussian_denoise
1 | 23.570793 | 25.997733 | 8.47887026465845 | 2.528225536603265 | box_filter_denoise
1 | 23.570793 | 29.687226 | 8.47887026465845 | 1.8677425712732778 | median_blur
1 | 23.570793 | 23.596450 | 8.47887026465845 | 12.38114039016033 | bayesshrink_wavelet
1 | 23.570793 | 24.988112 | 8.47887026465845 | 9.450593122419075 | visushrink_wavelet
1 | 23.570793 | 26.354311 | 8.47887026465845 | 1.5536219270440892 | tv_chambolle_denoise
2 | 23.787045 | 27.448920 | 7.980510047404802 | 4.063379404982824 | bilateral_filtering
2 | 23.787045 | 26.095382 | 7.980510047404802 | 6.902752762425586 | fast_nl_means
2 | 23.787045 | 27.044667 | 7.980510047404802 | 5.135191423213926 | gaussian_denoise
2 | 23.787045 | 27.543407 | 7.980510047404802 | 2.3691873146931326 | box_filter_denoise
2 | 23.787045 | 32.434745 | 7.980510047404802 | 1.5896404620954352 | median_blur
2 | 23.787045 | 23.809299 | 7.980510047404802 | 11.844203214465438 | bayesshrink_wavelet
2 | 23.787045 | 26.827870 | 7.980510047404802 | 6.214217446815476 | visushrink_wavelet
2 | 23.787045 | 30.644823 | 7.980510047404802 | 1.2885163365576724 | tv_chambolle_denoise
6 | 23.186349 | 26.492621 | 8.692939355657561 | 4.735963415752227 | bilateral_filtering
6 | 23.186349 | 24.156998 | 8.692939355657561 | 10.45534414976551 | fast_nl_means
6 | 23.186349 | 26.394888 | 8.692939355657561 | 5.556310058416436 | gaussian_denoise
6 | 23.186349 | 26.857645 | 8.692939355657561 | 2.5536349379273906 | box_filter_denoise
6 | 23.186349 | 31.307374 | 8.692939355657561 | 1.6941848911692483 | median_blur
6 | 23.186349 | 23.210496 | 8.692939355657561 | 12.872080492760908 | bayesshrink_wavelet
6 | 23.186349 | 24.856873 | 8.692939355657561 | 9.462221520102556 | visushrink_wavelet
6 | 23.186349 | 27.955882 | 8.692939355657561 | 1.6286564043010414 | tv_chambolle_denoise
